inadimplente_2anos,idade,renda_mensal,dependentes,uso_limite_rotativo,razao_divida,linhas_credito_abertas,financiamentos_imobiliarios,atrasos_30_59_dias,atrasos_60_89_dias,atrasos_90_mais_dias
1,45,9120.0,2.0,0.766126609,0.802982129,13,6,2,0,0
0,40,2600.0,1.0,0.957151019,0.121876201,4,0,0,0,0
0,38,3042.0,0.0,0.65818014,0.085113375,2,0,1,0,1
0,30,3300.0,0.0,0.233809776,0.036049682,5,0,0,0,0
0,49,63588.0,0.0,0.9072394,0.024925695,7,1,1,0,0
0,74,3500.0,1.0,0.213178682,0.375606969,3,1,0,0,0
0,57,,0.0,0.305682465,2.0,8,3,0,0,0
0,39,3500.0,0.0,0.754463648,0.209940017,8,0,0,0,0
0,27,,,0.116950644,2.0,2,0,0,0,0
0,57,23684.0,2.0,0.189169052,0.606290901,9,4,0,0,0
0,30,2500.0,0.0,0.644225962,0.30947621,5,0,0,0,0
0,51,6501.0,2.0,0.01879812,0.53152876,7,2,0,0,0
0,46,12454.0,2.0,0.010351857,0.298354075,13,2,0,0,0
1,40,13700.0,2.0,0.964672555,0.382964747,9,1,3,1,3
0,76,0.0,0.0,0.019656581,2.0,6,1,0,0,0
0,64,11362.0,2.0,0.548458062,0.209891754,7,1,0,0,0
0,78,,0.0,0.061086118,2.0,10,2,0,0,0
0,53,8800.0,0.0,0.166284079,0.18827406,7,0,0,0,0
0,43,3280.0,2.0,0.221812771,0.527887839,7,1,0,0,0
0,25,333.0,0.0,0.602794411,0.065868263,2,0,0,0,0
0,43,12300.0,0.0,0.200923382,0.430046338,10,2,0,0,0
1,38,3000.0,2.0,0.025655677,0.475841386,7,1,0,0,0
0,39,2500.0,0.0,0.9999999,0.241103559,4,0,0,0,0
0,32,7916.0,0.0,0.075426584,0.085512189,6,0,0,0,0
0,58,2416.0,0.0,0.04656027,0.241621845,9,1,0,0,0
1,50,4676.0,1.0,0.392248482,1.595253368,14,3,0,0,0
0,58,8333.0,0.0,0.052436094,0.097672186,22,1,0,0,0
0,69,2500.0,1.0,0.034421473,0.042383047,17,0,0,0,0
0,24,3400.0,0.0,0.452515828,0.011761247,1,0,0,0,0
0,58,5500.0,0.0,0.392994586,0.436102527,15,1,2,0,0
0,28,4200.0,0.0,0.704073982,0.155201143,8,0,1,0,0
0,24,750.0,0.0,0.9999999,0.472703063,1,0,0,0,0
0,62,,0.0,0.083418009,2.0,6,1,0,0,0
0,57,7000.0,0.0,0.186868556,0.313812313,9,2,0,0,0
0,42,2230.0,0.0,0.693329681,0.257731959,7,0,2,0,0
0,64,11000.0,0.0,0.0,0.073538769,9,1,0,0,0
0,50,4000.0,1.0,0.881836362,0.567858035,9,1,3,0,0
0,75,3400.0,1.0,0.9999999,0.134078212,1,1,1,0,0
0,26,1000.0,0.0,0.363636364,0.00999001,1,0,0,0,0
0,52,3500.0,0.0,0.304490668,0.808340474,10,2,0,0,0
0,41,5700.0,0.0,0.71998531,0.539554464,14,1,1,0,0
0,81,,0.0,0.07289757,2.0,7,0,0,0,0
0,31,9250.0,1.0,0.469056842,0.048211004,4,0,0,0,0
0,28,3661.0,1.0,0.718705378,0.170125614,4,0,0,0,0
0,68,1.0,0.0,0.368875933,2.0,31,1,0,0,0
0,70,16800.0,2.0,0.000602723,0.177787036,12,1,0,0,0
0,62,3133.0,0.0,0.061440132,0.011167837,2,0,0,0,0
0,31,1937.0,0.0,0.140110634,0.689370485,4,2,0,0,0
0,38,13000.0,2.0,0.834048027,0.393662026,13,2,0,0,0
0,70,6900.0,0.0,7.96e-05,0.256339661,21,1,0,0,1
0,73,0.0,0.0,0.818977517,2.0,9,1,0,1,0
1,31,3000.0,1.0,0.728150491,0.824725092,10,2,0,0,0
0,62,,0.0,0.9999999,0.0,1,0,0,0,0
0,51,5750.0,0.0,0.028562367,0.306381499,5,1,0,0,0
0,29,2231.0,0.0,0.992015968,0.008064516,1,0,0,0,0
0,55,13793.0,0.0,0.070853769,0.073147745,4,1,0,0,0
0,46,13000.0,1.0,0.454971915,0.016921775,10,0,1,0,0
0,64,3216.0,0.0,0.401199782,0.351258937,4,1,0,0,0
0,43,,2.0,0.541108804,2.0,3,1,0,0,0
0,35,5813.0,2.0,0.655569945,0.261609907,10,0,0,0,0
0,58,7783.0,0.0,0.651603452,0.241135663,11,1,0,0,0
0,69,5600.0,0.0,0.027399502,0.00803428,3,0,0,0,0
0,72,,0.0,0.101155821,2.0,12,2,0,0,0
0,46,3326.0,2.0,0.009788862,1.051397656,6,2,0,0,0
0,60,4500.0,0.0,0.337520702,0.549877805,10,2,0,0,0
0,67,3720.0,0.0,0.0,0.540983607,2,1,0,0,0
0,55,7723.0,1.0,0.750873672,0.316416365,17,1,2,0,0
0,27,764.0,0.0,0.006799093,0.681045752,3,0,1,0,0
0,31,2000.0,2.0,0.004264079,0.111444278,6,0,0,0,1
0,64,9455.0,3.0,0.26948375,0.16106176,13,1,0,0,0
0,36,8384.0,1.0,0.265898391,0.262611807,6,2,0,0,0
0,67,,0.0,0.142013011,2.0,7,2,0,0,0
0,56,6793.0,0.0,0.827708197,0.369590815,15,1,0,0,1
0,31,0.0,1.0,0.059668871,2.0,11,2,0,0,0
1,49,10257.0,3.0,0.13306279,0.182881653,9,2,1,0,0
0,36,8600.0,3.0,0.234218112,0.116614347,19,0,0,0,0
0,29,4800.0,0.0,0.122295933,0.694646949,5,1,0,0,0
0,37,4975.0,0.0,0.460376317,0.074155949,6,0,0,0,0
0,69,15000.0,1.0,0.335558577,0.270448637,14,2,0,0,0
0,41,1042.0,2.0,0.270522569,2.0,11,2,0,0,0
0,52,10833.0,1.0,0.183316667,0.111131623,14,2,0,0,0
0,66,4500.0,0.0,0.074861676,0.208842479,3,1,0,0,0
0,53,12414.0,2.0,0.017258977,2.0,13,1,0,0,0
0,56,4950.0,0.0,0.054497069,0.492021814,18,2,0,0,0
0,31,3300.0,0.0,0.029164236,0.395031809,10,1,0,0,0
0,58,4886.0,1.0,0.0,0.316144874,9,1,0,0,0
0,58,,0.0,0.360509632,2.0,8,2,1,0,0
0,64,3200.0,0.0,0.003749688,0.004061231,5,0,0,1,0
1,45,4716.0,2.0,0.734477501,0.591477634,13,2,0,0,0
0,60,4916.0,0.0,0.080564168,0.487288997,15,2,0,0,0
0,51,0.0,0.0,0.039387786,2.0,7,0,0,0,0
0,83,10500.0,0.0,0.023767433,0.123797734,13,0,0,0,0
0,52,,0.0,0.784835658,2.0,10,2,0,1,0
0,34,3050.0,1.0,0.888822236,0.368403802,4,0,0,0,0
0,44,3100.0,0.0,0.791173628,0.51241535,5,1,0,0,0
0,37,6500.0,0.0,0.24535301,0.288417167,11,1,0,1,1
0,48,,,0.542242704,2.0,2,0,2,0,0
0,57,5714.0,0.0,0.010531379,0.280664917,6,1,0,0,0
0,32,2900.0,0.0,0.363199686,0.480523957,4,1,0,0,0
0,75,7500.0,0.0,0.032617977,0.006799093,4,0,0,0,0
0,61,,0.0,0.013024674,2.0,4,0,0,0,0
0,34,4000.0,0.0,0.019387779,0.32591852,9,1,0,0,0
0,52,2690.0,0.0,0.634485057,0.138238573,2,0,0,0,0
0,44,4908.0,1.0,0.888008615,0.299246282,8,0,0,0,0
0,57,8333.0,0.0,0.003108849,0.258939285,7,1,0,0,0
0,46,6250.0,3.0,0.114830941,0.026235802,6,0,0,0,0
0,80,10060.0,0.0,0.018886792,0.003478779,5,0,0,0,0
0,32,3000.0,1.0,0.635415157,0.519493502,4,1,0,0,0
0,62,8314.0,0.0,0.9999999,0.664221287,8,3,0,0,0
